total_rows	column_name	true_count	false_count	true_percentage
182506278	0PhysicalSpecimenID	182506277	1	99.99999945207364
182506278	0Organization	176986960	5519318	96.97582019616881
182506278	1Name	178668147	3838131	97.89698686419982
182506278	1ObjectType	65594661	116911617	35.941043628099195
182506278	1License	182506278	0	100
182506278	1Modified	70533128	111973150	38.64695985964932
182506278	2QualitativeLocation	167990443	14515835	92.0463914123546
182506278	2QuantitativeLocation	104024768	78481510	56.997912148534425
182506278	2CollectingAgent	134628983	47877295	73.76676817659938
182506278	2DateCollected	147139509	35366769	80.62161510959092
182506278	2CollectingNumber	76527053	105979225	41.93118934790835
182506278	2Media	173708739	8797539	95.17959650681166
182506278	3GeographicalLocalityID	15384397	167121881	8.429516599971427
182506278	3OrganizationID	64673002	117833276	35.43604237000548
182506278	3CollectingAgentID	2130735	180375543	1.167485865883474
182506278	3IdentifiedAsID	178346649	4159629	97.72082963633723
182506278	3IdentifiedByID	899656	181606622	0.4929452344647563
182506278	3MediaID	173594000	8912278	95.11672798455734
182506278	0	147111991		80.60653727210413
182506278	2	9075403		4.972652502397753
182506278	1	20799565		11.396629873740563
182506278	-1	5519319		3.0241803517575434
