total_rows	column_name	true_count	false_count	true_percentage
212787605	0PhysicalSpecimenID	212757311	30294	99.98576326849489
212787605	0Organization	200500964	12286641	94.2258662105812
212787605	1Name	208548828	4238777	98.00797748534272
212787605	1ObjectType	80558162	132229443	37.858484285304115
212787605	1License	212787605	0	100
212787605	1Modified	113765731	99021874	53.46445390933368
212787605	2QualitativeLocation	195712078	17075527	91.97531876915481
212787605	2QuantitativeLocation	125985839	86801766	59.20732036999994
212787605	2CollectingAgent	156566638	56220967	73.57883369193426
212787605	2DateCollected	172206110	40581495	80.92863773714639
212787605	2CollectingNumber	90754176	122033429	42.65012334717523
212787605	2Media	81032307	131755298	38.08130976426
212787605	3GeographicalLocalityID	23298871	189488734	10.94935534426453
212787605	3OrganizationID	93738668	119048937	44.05269188494321
212787605	3CollectingAgentID	4033419	208754186	1.8955140737638358
212787605	3IdentifiedAsID	208289843	4497762	97.88626691860178
212787605	3IdentifiedByID	2204651	210582954	1.0360805555379975
212787605	3MediaID	0	212787605	0
212787605	0	147248003		69.19952080855461
212787605	1	47988042		22.552085211918243
212787605	2	5264919		2.474260190108348
212787605	-1	12286641		5.774133789418796
