total_rows	column_name	true_count	false_count	true_percentage
120266568	0PhysicalSpecimenID	120266567	1	99.99999916851372
120266568	0Organization	119969328	297240	99.75284902118435
120266568	1Name	119063784	1202784	98.99990161854456
120266568	1ObjectType	35653541	84613027	29.6454298088892
120266568	1License	14318617	105947951	11.905733437076211
120266568	1Modified	29836247	90430321	24.808429720884693
120266568	2QualitativeLocation	111655927	8610641	92.84037023489354
120266568	2QuantitativeLocation	64364669	55901899	53.51833852945733
120266568	2CollectingAgent	89122294	31144274	74.10396378817428
120266568	2DateCollected	92561031	27705537	76.9632263888997
120266568	2CollectingNumber	38346904	81919664	31.884924162798097
120266568	2Media	25789348	94477220	21.443488767385464
120266568	3GeographicalLocalityID	5921472	114345096	4.923622664612829
120266568	3OrganizationID	22074470	98192098	18.3546187166495
120266568	3CollectingAgentID	0	120266568	0
120266568	3IdentifiedAsID	119063156	1203412	98.99937944516716
120266568	3IdentifiedByID	0	120266568	0
120266568	3MediaID	12332960	107933608	10.25468690517551
120266568	0	118490722		98.5234084338384
120266568	1	1173172		0.9754764100360792
120266568	-1	297241		0.24715181030192862
120266568	2	305433		0.2539633458235875
